# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	34.7935	34.9073	0.0164825
20	17.501	19.4931	0.287474
40	15.5551	15.5628	0.00110657
60	14.3872	14.3872	1.07663e-14
80	11.2571	11.2571	1.79439e-15
100	9.32823	9.32823	0
120	8.60023	8.60023	5.38317e-15
140	8.39792	8.39792	1.79439e-15
160	8.23447	8.23447	3.58878e-15
180	8.00113	8.00113	5.38317e-15
200	8.00113	8.00113	1.79439e-15
220	8.00113	8.00113	1.79439e-15
240	7.51905	7.51905	6.28037e-15
260	7.51905	7.51905	6.28037e-15
280	6.25063	6.25063	0
300	6.25063	6.25063	0
320	6.25063	6.25063	0
340	6.25063	6.25063	0
360	6.25063	6.25063	0
380	6.24306	6.24306	8.97196e-16
400	6.24306	6.24306	8.97196e-16
420	6.24306	6.24306	8.97196e-16
440	6.24306	6.24306	8.97196e-16
460	6.24306	6.24306	8.97196e-16
480	6.24306	6.24306	8.97196e-16
500	6.24306	6.24306	8.97196e-16
520	6.24306	6.24306	8.97196e-16
540	6.24306	6.24306	8.97196e-16
560	6.24306	6.24306	1.79439e-15
580	6.24306	6.24306	1.79439e-15
600	6.24306	6.24306	1.79439e-15
620	6.24306	6.24306	1.79439e-15
640	6.24306	6.24306	1.79439e-15
660	6.24306	6.24306	1.79439e-15
680	6.24306	6.24306	1.79439e-15
700	6.24306	6.24306	1.79439e-15
720	6.24306	6.24306	1.79439e-15
740	6.24306	6.24306	1.79439e-15
760	6.24306	6.24306	1.79439e-15
780	6.24306	6.24306	1.79439e-15
800	6.24306	6.24306	1.79439e-15
820	6.24306	6.24306	1.79439e-15
840	6.24306	6.24306	1.79439e-15
860	6.24306	6.24306	1.79439e-15
880	6.24306	6.24306	1.79439e-15
900	6.24306	6.24306	1.79439e-15
920	6.24306	6.24306	1.79439e-15
940	6.24306	6.24306	1.79439e-15
960	6.24306	6.24306	1.79439e-15
980	6.24306	6.24306	1.79439e-15
