# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	34.4542	37.0849	1.16004
20	25.2678	25.2681	0.0001434
40	23.5128	23.5128	3.83737e-15
60	21.2595	21.3793	0.052841
80	14.0536	14.33	0.121898
100	14.0438	14.1163	0.191676
120	12.8897	13.364	0.209141
140	12.5707	12.5774	0.0029479
160	11.807	11.807	0
180	11.352	11.352	0
200	11.291	11.291	1.91868e-15
220	10.9529	11.1794	0.386806
240	9.59596	9.59596	0
260	8.83915	9.19536	0.649048
280	8.19852	8.19852	0
300	8.19852	8.19852	0
320	8.19852	8.19852	0
340	8.19509	8.19509	1.91868e-15
360	7.55155	7.55155	0
380	7.55155	7.55155	0
400	7.55155	7.55155	0
420	7.55155	7.55155	0
440	7.1054	7.1054	9.59342e-16
460	7.1054	7.1054	8.88178e-16
480	7.1054	7.1054	9.59342e-16
500	7.1054	7.1054	9.59342e-16
520	7.1054	7.1054	9.59342e-16
540	7.1054	7.1054	9.59342e-16
560	7.1054	7.1054	9.59342e-16
580	7.1054	7.12467	0.050998
600	7.1054	7.1054	9.59342e-16
620	6.24306	6.31073	0.179058
640	6.24306	6.24306	9.59342e-16
660	6.24306	6.24306	9.59342e-16
680	6.24306	6.24306	9.59342e-16
700	6.24306	6.24306	9.59342e-16
720	6.24306	6.45427	0.558811
740	6.24306	6.24306	9.59342e-16
760	6.24306	6.51284	0.504858
780	6.24306	6.24306	9.59342e-16
800	6.24306	6.24306	9.59342e-16
820	6.24306	6.24306	9.59342e-16
840	6.24306	6.24306	9.59342e-16
860	6.24306	6.24306	9.59342e-16
880	6.24306	6.24306	9.59342e-16
900	6.24306	6.5503	0.547998
920	6.24306	6.24306	9.59342e-16
940	6.24306	6.24306	9.59342e-16
960	6.24306	6.24306	9.59342e-16
980	6.24306	6.24306	9.59342e-16
