# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	7876.86	7884.95	29.1631
20	7876.86	8029	337.385
40	7876.86	7876.86	2.78046e-12
60	7876.86	7886.06	35.2639
80	7876.81	7885.08	29.7936
100	7876.81	7900.4	80.1973
120	7876.81	7876.81	1.85364e-12
140	7876.81	7876.81	1.85364e-12
160	7876.81	7995.67	228.658
180	7876.81	7907.74	89.7445
200	7862.22	8058.68	303.51
220	7851.15	7899.78	109.449
240	7851.15	7870	68.362
260	7851.15	7867.85	48.6338
280	7851.15	7880.12	87.7782
300	7851.15	7851.15	3.70728e-12
320	7851.15	7877.04	52.5093
340	7851.15	7851.15	3.70728e-12
360	7822.95	7984.19	253.131
380	7820.34	7821.85	7.8052
400	7820.34	8080.61	345.666
420	7762.81	7871.44	196.926
440	7762.81	7762.81	1.85364e-12
460	7747.45	7814.57	122.933
480	7747.45	7864.22	207.341
500	7709.73	7709.73	2.78046e-12
520	7709.73	7818.11	180.502
540	7670.83	7790	197.179
560	7657.09	7754.2	223.203
580	7640.83	7640.83	0
600	7611.85	7611.85	1.85364e-12
620	7608.78	7680.04	142.974
640	7608.78	7700.72	170.239
660	7608.78	7674.26	135.69
680	7608.78	7611.95	16.4863
700	7608.78	7608.78	2.78046e-12
720	7593.4	7617.44	76.7233
740	7593.4	7661.3	159.325
760	7593.4	7593.4	3.70728e-12
780	7571.57	7571.57	2.78046e-12
800	7571.57	7572.37	4.12462
820	7571.57	7575.04	18.0307
840	7556.19	7615.19	115.554
860	7556.19	7678.7	217.076
880	7556.19	7606.95	111.479
900	7556.19	7556.19	9.2682e-13
920	7556.19	7575.96	73.9357
940	7556.19	7568.05	61.6102
960	7556.19	7556.19	9.2682e-13
980	7515.77	7541.45	72.3384
