# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	7876.86	7884.95	29.1631
20	7876.86	8029	337.385
40	7862.22	7862.22	2.78046e-12
60	7862.22	7871.95	37.7156
80	7862.22	7870.49	29.7936
100	7862.22	7885.81	80.1973
120	7851.03	7851.03	4.6341e-12
140	7851.03	7851.03	4.6341e-12
160	7851.03	7968.12	226.539
180	7851.03	7878.52	81.447
200	7851.03	8062.75	329.12
220	7839.96	7888.59	109.449
240	7839.96	7858.81	68.362
260	7839.96	7856.67	48.6338
280	7839.96	7868.93	87.7782
300	7839.96	7839.96	0
320	7804.21	7828.76	50.2815
340	7804.21	7804.21	3.70728e-12
360	7804.21	7966.54	270.785
380	7804.21	7805.71	7.8052
400	7804.21	8048.79	319.639
420	7710.95	7818.04	194.423
440	7710.95	7710.95	1.85364e-12
460	7695.58	7759.01	119.502
480	7710.95	7830.9	213.937
500	7650.07	7650.07	1.85364e-12
520	7650.07	7765.26	189.453
540	7611.17	7729.28	196.685
560	7611.17	7699.19	210.905
580	7611.17	7611.17	4.6341e-12
600	7611.17	7611.17	4.6341e-12
620	7611.17	7667.1	118.509
640	7580.17	7653.28	138.309
660	7580.17	7627.77	88.3051
680	7580.17	7585.57	28.0708
700	7580.17	7580.17	3.70728e-12
720	7564.79	7590.36	81.5073
740	7564.79	7621.1	135.508
760	7564.79	7564.79	4.6341e-12
780	7564.79	7564.79	4.6341e-12
800	7564.79	7567.81	15.7019
820	7564.79	7572.45	39.8271
840	7564.79	7642.68	156.761
860	7564.79	7665.9	189.819
880	7549.99	7594.74	102.223
900	7549.99	7549.99	2.78046e-12
920	7549.99	7571.98	79.2344
940	7549.99	7560.13	52.6726
960	7549.99	7549.99	2.78046e-12
980	7549.99	7578.56	77.8911
