0	98
0.01	109
0.02	100
0.03	98
0.04	104
0.05	110
0.06	101
0.07	84
0.08	92
0.09	80
0.1	93
0.11	104
0.12	91
0.13	95
0.14	103
0.15	93
0.16	88
0.17	91
0.18	95
0.19	129
0.2	90
0.21	85
0.22	94
0.23	86
0.24	100
0.25	109
0.26	78
0.27	94
0.28	82
0.29	118
0.3	105
0.31	105
0.32	92
0.33	93
0.34	102
0.35	107
0.36	92
0.37	100
0.38	92
0.39	102
0.4	90
0.41	105
0.42	100
0.43	103
0.44	100
0.45	89
0.46	97
0.47	83
0.48	92
0.49	103
0.5	95
0.51	105
0.52	92
0.53	82
0.54	93
0.55	89
0.56	95
0.57	98
0.58	102
0.59	99
0.6	101
0.61	95
0.62	102
0.63	95
0.64	92
0.65	95
0.66	110
0.67	86
0.68	99
0.69	102
0.7	113
0.71	111
0.72	101
0.73	99
0.74	112
0.75	92
0.76	108
0.77	93
0.78	107
0.79	85
0.8	91
0.81	94
0.82	104
0.83	91
0.84	101
0.85	108
0.86	124
0.87	98
0.88	102
0.89	102
0.9	94
0.91	86
0.92	106
0.93	97
0.94	114
0.95	90
0.96	105
0.97	101
0.98	112
0.99	94
