# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	34.4542	37.0849	1.16004
20	25.2678	25.2681	0.0001434
40	23.5128	23.5128	3.83737e-15
60	19.6005	19.6005	0
80	12.8495	12.8525	0.00134164
100	11.8906	11.9758	0.0375756
120	11.9887	11.9887	1.91868e-15
140	10.9806	11.0496	0.0304259
160	10.9599	10.9599	1.91868e-15
180	10.9599	10.9599	1.91868e-15
200	9.03846	9.03846	0
220	9.0335	9.22913	0.26215
240	9.0335	9.0335	1.91868e-15
260	7.0271	7.5013	0.713802
280	6.97137	6.97137	0
300	6.97137	6.97137	9.59342e-16
320	6.97137	6.97137	9.59342e-16
340	6.48929	6.48929	1.91868e-15
360	6.48929	6.48929	1.91868e-15
380	6.24306	6.24306	9.59342e-16
400	6.24306	6.24306	9.59342e-16
420	6.24306	6.24306	9.59342e-16
440	6.24306	6.24306	9.59342e-16
460	6.24306	6.24306	9.59342e-16
480	6.24306	6.24306	9.59342e-16
500	6.24306	6.24306	9.59342e-16
520	6.24306	6.24306	9.59342e-16
540	6.24306	6.24306	9.59342e-16
560	6.24306	6.24306	9.59342e-16
580	6.24306	6.26834	0.066885
600	6.24306	6.24306	9.59342e-16
620	6.24306	6.31073	0.179058
640	6.24306	6.24306	9.59342e-16
660	6.24306	6.24306	9.59342e-16
680	6.24306	6.24306	9.59342e-16
700	6.24306	6.24306	9.59342e-16
720	6.24306	6.45427	0.558811
740	6.24306	6.24306	9.59342e-16
760	6.24306	6.51284	0.504858
780	6.24306	6.24306	9.59342e-16
800	6.24306	6.24306	9.59342e-16
820	6.24306	6.24306	9.59342e-16
840	6.24306	6.24306	9.59342e-16
860	6.24306	6.24306	9.59342e-16
880	6.24306	6.24306	9.59342e-16
900	6.24306	6.5503	0.547998
920	6.24306	6.24306	9.59342e-16
940	6.24306	6.24306	9.59342e-16
960	6.24306	6.24306	9.59342e-16
980	6.24306	6.24306	9.59342e-16
