# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	7876.86	7884.95	29.1631
20	7876.86	8029	337.385
40	7876.86	7876.86	2.78046e-12
60	7876.86	7886.06	35.2639
80	7876.81	7885.08	29.7936
100	7876.81	7900.4	80.1973
120	7876.81	7876.81	1.85364e-12
140	7851.03	7851.03	4.6341e-12
160	7851.03	7968.12	226.539
180	7851.03	7878.52	81.447
200	7851.03	8062.75	329.12
220	7839.96	7888.59	109.449
240	7839.96	7858.81	68.362
260	7839.96	7856.67	48.6338
280	7839.96	7868.93	87.7782
300	7839.96	7839.96	0
320	7804.21	7828.76	50.2815
340	7804.21	7804.21	3.70728e-12
360	7804.21	7966.54	270.785
380	7804.21	7805.71	7.8052
400	7804.21	8048.79	319.639
420	7804.21	7893.92	160.278
440	7804.21	7804.21	3.70728e-12
460	7788.85	7856.46	132.856
480	7788.85	7889.73	196.723
500	7781.05	7781.05	4.6341e-12
520	7710.12	7870.51	253.243
540	7710.12	7833.33	208.155
560	7710.12	7766.7	140.491
580	7710.12	7710.12	4.6341e-12
600	7710.12	7710.12	4.6341e-12
620	7710.12	7791.72	172.316
640	7710.12	7785.72	145.723
660	7710.12	7778.75	141.745
680	7710.12	7716.17	31.408
700	7710.12	7710.12	4.6341e-12
720	7710.12	7732.78	69.9258
740	7710.12	7774.57	140.874
760	7710.12	7710.12	4.6341e-12
780	7710.12	7710.12	4.6341e-12
800	7710.12	7711.79	8.65549
820	7710.12	7715.17	26.2443
840	7537.93	7596.97	128.566
860	7537.93	7675.27	264.977
880	7537.93	7565.2	70.5974
900	7537.93	7537.93	9.2682e-13
920	7537.93	7551.44	50.8703
940	7515.8	7531.8	83.1636
960	7515.8	7515.8	1.85364e-12
980	7515.8	7541.73	71.3261
