# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	34.8637	34.9085	0.0100118
20	19.4368	19.4368	7.27264e-15
40	14.8725	14.8734	0.004452
60	13.5755	13.5755	5.45448e-15
80	9.85181	9.85181	5.45448e-15
100	8.64278	8.64278	0
120	7.61564	7.61564	0
140	7.61564	7.61564	0
160	7.61564	7.61564	4.5454e-15
180	6.82797	6.82797	9.0908e-16
200	6.24306	6.24306	1.81816e-15
220	6.24306	6.24306	1.81816e-15
240	6.24306	6.24306	1.81816e-15
260	6.24306	6.24306	1.81816e-15
280	6.24306	6.24306	1.81816e-15
300	6.24306	6.24306	1.81816e-15
320	6.24306	6.24306	1.81816e-15
340	6.24306	6.24306	1.81816e-15
360	6.24306	6.24306	1.81816e-15
380	6.24306	6.24306	1.81816e-15
400	6.24306	6.24306	1.81816e-15
420	6.24306	6.24306	1.81816e-15
440	6.24306	6.24306	1.81816e-15
460	6.24306	6.24306	1.81816e-15
480	6.24306	6.24306	1.81816e-15
500	6.24306	6.34538	0.250371
520	6.24306	6.24306	1.81816e-15
540	6.24306	6.24306	1.81816e-15
560	6.24306	6.24306	1.81816e-15
580	6.24306	6.24306	1.81816e-15
600	6.24306	6.24306	1.81816e-15
620	6.24306	6.24306	1.81816e-15
640	6.24306	6.24306	1.81816e-15
660	6.24306	6.24306	1.81816e-15
680	6.24306	6.24306	1.81816e-15
700	6.24306	6.24306	1.81816e-15
720	6.24306	6.24306	1.81816e-15
740	6.24306	6.24306	1.81816e-15
760	6.24306	6.24306	1.81816e-15
780	6.24306	6.24306	1.81816e-15
800	6.24306	6.24306	1.81816e-15
820	6.24306	6.24306	1.81816e-15
840	6.24306	6.24306	1.81816e-15
860	6.24306	6.24306	1.81816e-15
880	6.24306	6.24306	1.81816e-15
900	6.24306	6.24306	1.81816e-15
920	6.24306	6.24306	1.81816e-15
940	6.24306	6.24306	1.81816e-15
960	6.24306	6.24306	1.81816e-15
980	6.24306	6.24306	1.81816e-15
