# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	34.4542	37.0849	1.16004
20	24.8052	25.0102	0.118784
40	22.2103	22.2103	0
60	20.1385	20.394	0.112646
80	16.2497	16.2648	0.00665728
100	14.5701	14.5705	0.000159759
120	14.2616	14.2647	0.0013742
140	12.9269	12.9269	0
160	11.7319	11.7319	0
180	10.877	10.877	0
200	10.3371	10.3371	0
220	9.12873	9.23422	0.17785
240	9.1271	9.1271	0
260	8.48585	8.88544	0.689847
280	8.4663	8.4663	0
300	7.51213	8.06126	0.242141
320	7.50456	7.50456	9.59342e-16
340	7.50456	7.50456	9.59342e-16
360	7.50456	7.50456	9.59342e-16
380	7.44523	7.44523	1.91868e-15
400	7.41106	7.41106	9.59342e-16
420	7.41106	7.41106	9.59342e-16
440	7.41106	7.41106	9.59342e-16
460	7.41106	7.41106	8.88178e-16
480	7.41106	7.41106	0
500	7.41106	7.41106	0
520	7.41106	7.41106	0
540	7.41106	7.41106	0
560	7.41106	7.41106	0
580	7.41106	7.41294	0.00497874
600	7.41106	7.41106	0
620	7.41106	7.53105	0.317473
640	7.1017	7.1017	0
660	6.76279	6.76279	9.59342e-16
680	6.36572	6.36572	9.59342e-16
700	6.36572	6.36572	9.59342e-16
720	6.36572	6.52137	0.411811
740	6.34394	6.34394	9.59342e-16
760	6.34394	6.90502	1.0541
780	6.34394	6.34394	9.59342e-16
800	6.34394	6.34394	9.59342e-16
820	6.34394	6.34394	9.59342e-16
840	6.34394	6.34394	9.59342e-16
860	6.24306	6.24306	9.59342e-16
880	6.24306	6.24306	9.59342e-16
900	6.24306	6.59965	0.815384
920	6.24306	6.24306	9.59342e-16
940	6.24306	6.24306	9.59342e-16
960	6.24306	6.24306	9.59342e-16
980	6.24306	6.24306	9.59342e-16
