# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	34.4542	37.0849	1.16004
20	23.6639	25.0798	0.62438
40	19.3844	19.3844	3.83737e-15
60	16.3373	16.3373	0
80	14.0176	14.8546	0.369075
100	12.6168	12.6312	0.0379411
120	10.1465	10.1465	0
140	9.92126	9.92126	0
160	9.63695	9.63695	1.91868e-15
180	7.80421	7.80421	9.59342e-16
200	7.80421	7.80421	9.59342e-16
220	7.80421	8.01987	0.297709
240	7.80421	7.80421	9.59342e-16
260	7.01283	7.50296	0.841099
280	7.01283	7.01283	9.59342e-16
300	7.00946	7.00946	0
320	7.00946	7.00946	0
340	6.45652	6.45652	1.91868e-15
360	6.28135	6.28135	9.59342e-16
380	6.26846	6.26846	9.59342e-16
400	6.26846	6.26846	9.59342e-16
420	6.26846	6.26846	9.59342e-16
440	6.26846	6.26846	9.59342e-16
460	6.24306	6.24306	9.59342e-16
480	6.24306	6.24306	9.59342e-16
500	6.24306	6.24306	9.59342e-16
520	6.24306	6.24306	9.59342e-16
540	6.24306	6.24306	9.59342e-16
560	6.24306	6.24306	9.59342e-16
580	6.24306	6.26834	0.066885
600	6.24306	6.24306	9.59342e-16
620	6.24306	6.31073	0.179058
640	6.24306	6.24306	9.59342e-16
660	6.24306	6.24306	9.59342e-16
680	6.24306	6.24306	9.59342e-16
700	6.24306	6.24306	9.59342e-16
720	6.24306	6.45427	0.558811
740	6.24306	6.24306	9.59342e-16
760	6.24306	6.51284	0.504858
780	6.24306	6.24306	9.59342e-16
800	6.24306	6.24306	9.59342e-16
820	6.24306	6.24306	9.59342e-16
840	6.24306	6.24306	9.59342e-16
860	6.24306	6.24306	9.59342e-16
880	6.24306	6.24306	9.59342e-16
900	6.24306	6.5503	0.547998
920	6.24306	6.24306	9.59342e-16
940	6.24306	6.24306	9.59342e-16
960	6.24306	6.24306	9.59342e-16
980	6.24306	6.24306	9.59342e-16
